Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Cr-O-2,2.871000,2.871000,25.595000,164.000000,62.280000,-5.040000,61.880000,61.880000,33.660000,33.660000,28.620000,28.620000,-0.080000,-0.080000
Cr-S-2,3.018000,3.018000,23.156000,164.000000,107.460000,-0.590000,107.460000,107.460000,54.020000,54.020000,53.440000,53.440000,-0.010000,-0.010000
Cr-Se-2,3.439000,3.439000,17.833000,164.000000,45.790000,4.230000,45.400000,45.400000,20.780000,20.780000,25.010000,25.010000,0.090000,0.090000
Cr-Te-2,3.421000,3.421000,18.026000,164.000000,62.470000,4.870000,62.090000,62.090000,28.800000,28.800000,33.670000,33.670000,0.080000,0.080000
Hf-O-2,3.235000,3.235000,20.154000,164.000000,168.910000,36.570000,160.990000,160.990000,66.170000,66.170000,102.740000,102.740000,0.220000,0.220000
Hf-S-2,3.612000,3.612000,16.169000,164.000000,85.110000,15.060000,82.450000,82.450000,35.020000,35.020000,50.090000,50.090000,0.180000,0.180000
Hf-Se-2,3.729000,3.729000,15.169000,164.000000,70.640000,13.440000,68.080000,68.080000,28.600000,28.600000,42.040000,42.040000,0.190000,0.190000
Hf-Te-2,3.897000,3.897000,13.886000,164.000000,46.700000,8.320000,45.220000,45.220000,19.190000,19.190000,27.510000,27.510000,0.180000,0.180000
Mo-O-2,2.928000,2.928000,24.599000,164.000000,106.520000,54.220000,78.920000,78.920000,26.150000,26.150000,80.370000,80.370000,0.510000,0.510000
Mo-S-2,3.132000,3.132000,21.495000,164.000000,114.390000,-7.480000,113.900000,113.900000,60.940000,60.940000,53.460000,53.460000,-0.070000,-0.070000
Mo-Se-2,3.236000,3.236000,20.138000,164.000000,113.380000,-1.060000,113.370000,113.370000,57.220000,57.220000,56.160000,56.160000,-0.010000,-0.010000
Mo-Te-2,3.441000,3.441000,17.815000,164.000000,86.570000,2.660000,86.490000,86.490000,41.950000,41.950000,44.620000,44.620000,0.030000,0.030000
Re-O-2,2.848000,2.848000,25.995000,164.000000,102.890000,11.110000,101.700000,101.700000,45.890000,45.890000,57.000000,57.000000,0.110000,0.110000
Re-S-2,3.042000,3.042000,22.788000,164.000000,119.480000,-8.720000,118.840000,118.840000,64.100000,64.100000,55.380000,55.380000,-0.070000,-0.070000
Re-Se-2,3.135000,3.135000,21.463000,164.000000,126.370000,-0.040000,126.370000,126.370000,63.210000,63.210000,63.170000,63.170000,-0.000000,-0.000000
Re-Te-2,3.352000,3.352000,18.773000,164.000000,88.300000,-1.650000,88.270000,88.270000,44.970000,44.970000,43.320000,43.320000,-0.020000,-0.020000
Ti-O-2,2.993000,2.993000,23.548000,164.000000,162.070000,35.960000,154.090000,154.090000,63.060000,63.060000,99.010000,99.010000,0.220000,0.220000
Ti-S-2,3.374000,3.374000,18.528000,164.000000,77.730000,15.160000,74.780000,74.780000,31.290000,31.290000,46.450000,46.450000,0.200000,0.200000
Ti-Se-2,3.485000,3.485000,17.368000,164.000000,62.630000,13.620000,59.670000,59.670000,24.510000,24.510000,38.120000,38.120000,0.220000,0.220000
Ti-Te-2,3.671000,3.671000,15.647000,164.000000,38.770000,17.690000,30.700000,30.700000,10.540000,10.540000,28.230000,28.230000,0.460000,0.460000
W-O-2,2.923000,2.923000,24.683000,164.000000,104.960000,80.890000,42.630000,42.630000,12.040000,12.040000,92.930000,92.930000,0.770000,0.770000
W-S-2,3.170000,3.170000,20.988000,164.000000,111.350000,-6.960000,110.910000,110.910000,59.150000,59.150000,52.200000,52.200000,-0.060000,-0.060000
W-Se-2,3.245000,3.245000,20.034000,164.000000,115.700000,-3.300000,115.610000,115.610000,59.500000,59.500000,56.200000,56.200000,-0.030000,-0.030000
W-Te-2,3.762000,3.762000,14.903000,164.000000,43.370000,-3.880000,43.020000,43.020000,23.620000,23.620000,19.740000,19.740000,-0.090000,-0.090000
Zr-O-2,3.270000,3.270000,19.721000,164.000000,159.480000,37.690000,150.580000,150.580000,60.900000,60.900000,98.590000,98.590000,0.240000,0.240000
Zr-S-2,3.647000,3.647000,15.857000,164.000000,79.110000,14.730000,76.370000,76.370000,32.190000,32.190000,46.920000,46.920000,0.190000,0.190000
Zr-Se-2,3.756000,3.756000,14.949000,164.000000,64.350000,13.090000,61.690000,61.690000,25.630000,25.630000,38.720000,38.720000,0.200000,0.200000
Zr-Te-2,3.903000,3.903000,13.847000,164.000000,40.710000,8.840000,38.790000,38.790000,15.940000,15.940000,24.770000,24.770000,0.220000,0.220000
