Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Cr-O-2,2.754000,2.754000,20.404000,187.000000,143.700000,36.590000,134.390000,134.390000,53.560000,53.560000,90.150000,90.150000,0.250000,0.250000
Cr-S-2,3.010000,3.010000,17.088000,187.000000,129.490000,30.750000,122.190000,122.190000,49.370000,49.370000,80.120000,80.120000,0.240000,0.240000
Cr-Se-2,3.178000,3.178000,15.320000,187.000000,105.680000,28.110000,98.210000,98.210000,38.790000,38.790000,66.890000,66.890000,0.270000,0.270000
Cr-Te-2,3.486000,3.486000,12.734000,187.000000,76.410000,25.930000,67.610000,67.610000,25.240000,25.240000,51.170000,51.170000,0.340000,0.340000
Hf-O-2,3.104000,3.104000,16.061000,187.000000,171.320000,78.650000,135.210000,135.210000,46.330000,46.330000,124.980000,124.980000,0.460000,0.460000
Hf-S-2,3.512000,3.512000,12.548000,187.000000,95.560000,33.290000,83.960000,83.960000,31.130000,31.130000,64.420000,64.420000,0.350000,0.350000
Hf-Se-2,3.643000,3.643000,11.661000,187.000000,80.600000,27.730000,71.060000,71.060000,26.440000,26.440000,54.160000,54.160000,0.340000,0.340000
Hf-Te-2,3.850000,3.850000,10.440000,187.000000,47.520000,19.570000,39.470000,39.470000,13.980000,13.980000,33.550000,33.550000,0.410000,0.410000
Mo-O-2,2.840000,2.840000,19.185000,187.000000,227.210000,79.220000,199.580000,199.580000,73.990000,73.990000,153.210000,153.210000,0.350000,0.350000
Mo-S-2,3.154000,3.154000,15.557000,187.000000,142.780000,31.790000,135.700000,135.700000,55.500000,55.500000,87.280000,87.280000,0.220000,0.220000
Mo-Se-2,3.284000,3.284000,14.350000,187.000000,120.140000,24.230000,115.250000,115.250000,47.950000,47.950000,72.180000,72.180000,0.200000,0.200000
Mo-Te-2,3.506000,3.506000,12.588000,187.000000,92.540000,18.500000,88.840000,88.840000,37.020000,37.020000,55.520000,55.520000,0.200000,0.200000
Re-O-2,2.844000,2.844000,19.138000,187.000000,63.910000,70.020000,-12.810000,-12.810000,-3.060000,-3.060000,66.970000,66.970000,1.100000,1.100000
Re-S-2,3.290000,3.290000,14.299000,187.000000,60.040000,62.430000,-4.880000,-4.880000,-1.200000,-1.200000,61.240000,61.240000,1.040000,1.040000
Re-Se-2,3.146000,3.146000,15.634000,187.000000,106.540000,3.890000,106.400000,106.400000,51.330000,51.330000,55.210000,55.210000,0.040000,0.040000
Re-Te-2,3.674000,3.674000,11.466000,187.000000,48.630000,50.210000,-3.210000,-3.210000,-0.790000,-0.790000,49.420000,49.420000,1.030000,1.030000
Ti-O-2,2.865000,2.865000,18.861000,187.000000,179.250000,76.240000,146.820000,146.820000,51.510000,51.510000,127.740000,127.740000,0.430000,0.430000
Ti-S-2,3.305000,3.305000,14.167000,187.000000,93.420000,29.220000,84.290000,84.290000,32.100000,32.100000,61.320000,61.320000,0.310000,0.310000
Ti-Se-2,3.450000,3.450000,13.004000,187.000000,69.060000,25.840000,59.390000,59.390000,21.610000,21.610000,47.450000,47.450000,0.370000,0.370000
Ti-Te-2,3.673000,3.673000,11.472000,187.000000,36.730000,21.690000,23.930000,23.930000,7.520000,7.520000,29.210000,29.210000,0.590000,0.590000
W-O-2,2.851000,2.851000,19.040000,187.000000,256.250000,82.070000,229.960000,229.960000,87.090000,87.090000,169.160000,169.160000,0.320000,0.320000
W-S-2,3.161000,3.161000,15.494000,187.000000,157.070000,30.590000,151.110000,151.110000,63.240000,63.240000,93.830000,93.830000,0.190000,0.190000
W-Se-2,3.291000,3.291000,14.288000,187.000000,130.440000,21.650000,126.840000,126.840000,54.390000,54.390000,76.050000,76.050000,0.170000,0.170000
W-Te-2,3.513000,3.513000,12.543000,187.000000,99.130000,13.900000,97.180000,97.180000,42.610000,42.610000,56.520000,56.520000,0.140000,0.140000
Zr-O-2,3.136000,3.136000,15.740000,187.000000,157.320000,76.860000,119.770000,119.770000,40.230000,40.230000,117.090000,117.090000,0.490000,0.490000
Zr-S-2,3.540000,3.540000,12.350000,187.000000,87.630000,32.120000,75.860000,75.860000,27.760000,27.760000,59.870000,59.870000,0.370000,0.370000
Zr-Se-2,3.664000,3.664000,11.529000,187.000000,73.870000,26.810000,64.140000,64.140000,23.530000,23.530000,50.340000,50.340000,0.360000,0.360000
Zr-Te-2,3.859000,3.859000,10.395000,187.000000,39.840000,20.100000,29.700000,29.700000,9.870000,9.870000,29.970000,29.970000,0.500000,0.500000
