Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Al-As,4.079000,4.079000,15.835000,187.000000,64.180000,31.100000,49.110000,49.110000,16.540000,16.540000,47.640000,47.640000,0.480000,0.480000
Al-N,3.122000,3.122000,27.024000,187.000000,142.500000,68.500000,109.570000,109.570000,37.000000,37.000000,105.500000,105.500000,0.480000,0.480000
Al-P,3.925000,3.925000,17.097000,187.000000,74.360000,37.440000,55.500000,55.500000,18.460000,18.460000,55.900000,55.900000,0.500000,0.500000
B-As,3.382000,3.382000,23.028000,187.000000,127.470000,37.320000,116.550000,116.550000,45.080000,45.080000,82.390000,82.390000,0.290000,0.290000
B-N,2.587000,2.587000,39.359000,187.000000,235.800000,35.030000,230.600000,230.600000,100.380000,100.380000,135.410000,135.410000,0.150000,0.150000
B-P,3.206000,3.206000,25.625000,187.000000,147.050000,40.610000,135.840000,135.840000,53.220000,53.220000,93.830000,93.830000,0.280000,0.280000
Ga-As,4.094000,4.094000,15.718000,187.000000,58.720000,24.360000,48.620000,48.620000,17.180000,17.180000,41.540000,41.540000,0.410000,0.410000
Ga-N,3.250000,3.250000,24.947000,187.000000,137.060000,69.700000,101.610000,101.610000,33.680000,33.680000,103.380000,103.380000,0.510000,0.510000
Ga-P,3.933000,3.933000,17.034000,187.000000,74.540000,32.900000,60.010000,60.010000,20.820000,20.820000,53.720000,53.720000,0.440000,0.440000
In-As,4.433000,4.433000,13.404000,187.000000,44.480000,22.740000,32.850000,32.850000,10.870000,10.870000,33.610000,33.610000,0.510000,0.510000
In-N,3.630000,3.630000,19.995000,187.000000,93.290000,59.450000,55.410000,55.410000,16.920000,16.920000,76.370000,76.370000,0.640000,0.640000
In-P,4.282000,4.282000,14.368000,187.000000,55.780000,29.130000,40.570000,40.570000,13.320000,13.320000,42.450000,42.450000,0.520000,0.520000
