Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Ba-O-2,4.255000,4.255000,15.555000,187.000000,45.580000,41.090000,8.530000,8.530000,2.240000,2.240000,43.330000,43.330000,,
Ba-S-2,5.112000,5.112000,10.773000,187.000000,25.300000,22.520000,5.270000,5.270000,1.390000,1.390000,23.910000,23.910000,,
Ba-Se-2,5.329000,5.329000,9.916000,187.000000,21.930000,19.780000,4.080000,4.080000,1.070000,1.070000,20.850000,20.850000,,
Ba-Te-2,5.690000,5.690000,8.697000,187.000000,18.150000,17.080000,2.090000,2.090000,0.540000,0.540000,17.620000,17.620000,,
Be-O-2,2.765000,2.765000,36.828000,187.000000,116.620000,31.370000,108.180000,108.180000,42.630000,42.630000,73.990000,73.990000,,
Be-S-2,3.444000,3.444000,23.738000,187.000000,79.130000,32.550000,65.740000,65.740000,23.290000,23.290000,55.840000,55.840000,,
Be-Se-2,3.655000,3.655000,21.076000,187.000000,68.300000,27.910000,56.890000,56.890000,20.190000,20.190000,48.110000,48.110000,,
Be-Te-2,4.012000,4.012000,17.491000,187.000000,55.390000,22.800000,46.000000,46.000000,16.300000,16.300000,39.090000,39.090000,,
Cd-O-2,3.671000,3.671000,20.900000,187.000000,62.900000,53.120000,18.040000,18.040000,4.890000,4.890000,58.010000,58.010000,,
Cd-S-2,4.236000,4.236000,15.689000,187.000000,46.480000,30.810000,26.060000,26.060000,7.840000,7.840000,38.650000,38.650000,,
Cd-Se-2,4.436000,4.436000,14.307000,187.000000,40.590000,26.610000,23.140000,23.140000,6.990000,6.990000,33.600000,33.600000,,
Cd-Te-2,4.732000,4.732000,12.574000,187.000000,35.020000,22.400000,20.700000,20.700000,6.310000,6.310000,28.710000,28.710000,,
Mg-O-2,3.293000,3.293000,25.960000,187.000000,79.460000,50.360000,47.550000,47.550000,14.550000,14.550000,64.910000,64.910000,,
Mg-S-2,4.077000,4.077000,16.941000,187.000000,45.520000,30.970000,24.450000,24.450000,7.280000,7.280000,38.250000,38.250000,,
Mg-Se-2,4.288000,4.288000,15.315000,187.000000,39.100000,26.340000,21.350000,21.350000,6.380000,6.380000,32.720000,32.720000,,
Mg-Te-2,4.659000,4.659000,12.972000,187.000000,31.850000,21.340000,17.550000,17.550000,5.250000,5.250000,26.590000,26.590000,,
Sr-O-2,4.021000,4.021000,17.412000,187.000000,49.920000,40.560000,16.970000,16.970000,4.680000,4.680000,45.240000,45.240000,,
Sr-S-2,4.826000,4.826000,12.089000,187.000000,27.940000,24.440000,6.570000,6.570000,1.750000,1.750000,26.190000,26.190000,,
Sr-Se-2,5.038000,5.038000,11.096000,187.000000,24.290000,21.470000,5.310000,5.310000,1.410000,1.410000,22.880000,22.880000,,
Sr-Te-2,5.409000,5.409000,9.623000,187.000000,19.830000,18.210000,3.100000,3.100000,0.810000,0.810000,19.020000,19.020000,,
Zn-O-2,3.282000,3.282000,26.141000,187.000000,85.820000,60.500000,43.170000,43.170000,12.660000,12.660000,73.160000,73.160000,,
Zn-S-2,3.871000,3.871000,18.794000,187.000000,61.260000,32.770000,43.730000,43.730000,14.240000,14.240000,47.020000,47.020000,,
Zn-Se-2,4.084000,4.084000,16.880000,187.000000,52.130000,28.100000,36.980000,36.980000,12.020000,12.020000,40.110000,40.110000,,
Zn-Te-2,4.411000,4.411000,14.471000,187.000000,42.950000,22.280000,31.400000,31.400000,10.340000,10.340000,32.610000,32.610000,,
