Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Cr-O-2,8.600000,8.600000,25.662000,1.000000,-80.680000,-140.780000,164.960000,164.960000,30.050000,30.050000,-110.730000,-110.730000,1.740000,1.740000
Cr-S-2,9.043000,9.043000,23.214000,1.000000,197.280000,93.840000,152.650000,152.650000,51.720000,51.720000,145.560000,145.560000,0.480000,0.480000
Cr-Se-2,10.326000,10.326000,17.804000,1.000000,-82.080000,-134.470000,138.230000,138.230000,26.200000,26.200000,-108.270000,-108.270000,1.640000,1.640000
Cr-Te-2,10.251000,10.251000,18.066000,1.000000,110.600000,71.970000,63.760000,63.760000,19.310000,19.310000,91.290000,91.290000,0.650000,0.650000
Hf-S-2,10.836000,10.836000,16.166000,1.000000,79.970000,16.880000,76.410000,76.410000,31.550000,31.550000,48.420000,48.420000,0.210000,0.210000
Hf-Se-2,11.186000,11.186000,15.171000,1.000000,69.200000,16.650000,65.200000,65.200000,26.280000,26.280000,42.930000,42.930000,0.240000,0.240000
Hf-Te-2,11.688000,11.688000,13.896000,1.000000,47.640000,12.020000,44.600000,44.600000,17.810000,17.810000,29.830000,29.830000,0.250000,0.250000
Mo-O-2,8.782000,8.782000,24.610000,1.000000,206.170000,92.350000,164.800000,164.800000,56.910000,56.910000,149.260000,149.260000,0.450000,0.450000
Mo-S-2,9.395000,9.395000,21.504000,1.000000,113.660000,11.770000,112.440000,112.440000,50.940000,50.940000,62.720000,62.720000,0.100000,0.100000
Mo-Se-2,9.706000,9.706000,20.151000,1.000000,84.330000,-3.910000,84.150000,84.150000,44.120000,44.120000,40.210000,40.210000,-0.050000,-0.050000
Mo-Te-2,10.326000,10.326000,17.802000,1.000000,84.070000,15.950000,81.040000,81.040000,34.060000,34.060000,50.010000,50.010000,0.190000,0.190000
Re-O-2,8.548000,8.548000,25.981000,1.000000,295.460000,200.260000,159.720000,159.720000,47.600000,47.600000,247.860000,247.860000,0.680000,0.680000
Re-S-2,9.117000,9.117000,22.836000,1.000000,323.670000,306.160000,34.060000,34.060000,8.750000,8.750000,314.920000,314.920000,0.950000,0.950000
Re-Se-2,9.397000,9.397000,21.496000,1.000000,290.230000,280.530000,19.070000,19.070000,4.850000,4.850000,285.380000,285.380000,0.970000,0.970000
Re-Te-2,10.049000,10.049000,18.799000,1.000000,44.370000,27.740000,27.030000,27.030000,8.320000,8.320000,36.050000,36.050000,0.630000,0.630000
Ti-O-2,8.978000,8.978000,23.552000,1.000000,166.600000,48.320000,152.580000,152.580000,59.140000,59.140000,107.460000,107.460000,0.290000,0.290000
Ti-S-2,10.112000,10.112000,18.563000,1.000000,71.400000,15.550000,68.010000,68.010000,27.920000,27.920000,43.480000,43.480000,0.220000,0.220000
Ti-Se-2,10.455000,10.455000,17.366000,1.000000,61.030000,16.020000,56.830000,56.830000,22.510000,22.510000,38.530000,38.530000,0.260000,0.260000
Ti-Te-2,11.020000,11.020000,15.631000,1.000000,32.600000,14.800000,25.880000,25.880000,8.900000,8.900000,23.700000,23.700000,0.450000,0.450000
W-O-2,8.769000,8.769000,24.688000,1.000000,257.800000,150.580000,169.850000,169.850000,53.610000,53.610000,204.190000,204.190000,0.580000,0.580000
W-S-2,9.505000,9.505000,21.012000,1.000000,116.580000,22.100000,112.390000,112.390000,47.240000,47.240000,69.340000,69.340000,0.190000,0.190000
W-Se-2,9.736000,9.736000,20.027000,1.000000,103.800000,24.000000,98.260000,98.260000,39.900000,39.900000,63.900000,63.900000,0.230000,0.230000
W-Te-2,11.285000,11.285000,14.905000,1.000000,35.020000,14.210000,29.250000,29.250000,10.400000,10.400000,24.610000,24.610000,0.410000,0.410000
Zr-O-2,9.810000,9.810000,19.723000,1.000000,170.750000,55.680000,152.590000,152.590000,57.540000,57.540000,113.210000,113.210000,0.330000,0.330000
Zr-S-2,10.942000,10.942000,15.854000,1.000000,74.100000,15.790000,70.740000,70.740000,29.150000,29.150000,44.950000,44.950000,0.210000,0.210000
Zr-Se-2,11.269000,11.269000,14.949000,1.000000,62.520000,12.930000,59.850000,59.850000,24.790000,24.790000,37.730000,37.730000,0.210000,0.210000
Zr-Te-2,11.712000,11.712000,13.837000,1.000000,38.210000,9.870000,35.660000,35.660000,14.170000,14.170000,24.040000,24.040000,0.260000,0.260000
