Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Cr-O-2,8.264000,8.264000,20.397000,1.000000,-207.320000,-327.310000,309.440000,309.440000,60.000000,60.000000,-267.320000,-267.320000,1.580000,1.580000
Cr-S-2,9.028000,9.028000,17.090000,1.000000,149.290000,49.170000,133.090000,133.090000,50.060000,50.060000,99.230000,99.230000,0.330000,0.330000
Cr-Se-2,9.524000,9.524000,15.356000,1.000000,118.850000,38.420000,106.430000,106.430000,40.220000,40.220000,78.640000,78.640000,0.320000,0.320000
Cr-Te-2,10.461000,10.461000,12.730000,1.000000,183.930000,124.820000,99.230000,99.230000,29.560000,29.560000,154.380000,154.380000,0.680000,0.680000
Hf-O-2,9.311000,9.311000,16.066000,1.000000,-87.420000,-104.610000,37.770000,37.770000,8.600000,8.600000,-96.020000,-96.020000,1.200000,1.200000
Hf-S-2,10.523000,10.523000,12.580000,1.000000,88.140000,32.550000,76.120000,76.120000,27.800000,27.800000,60.350000,60.350000,0.370000,0.370000
Hf-Se-2,10.913000,10.913000,11.697000,1.000000,74.920000,30.700000,62.340000,62.340000,22.110000,22.110000,52.810000,52.810000,0.410000,0.410000
Hf-Te-2,11.556000,11.556000,10.431000,1.000000,46.280000,22.670000,35.180000,35.180000,11.810000,11.810000,34.480000,34.480000,0.490000,0.490000
Mo-O-2,8.519000,8.519000,19.191000,1.000000,220.150000,74.260000,195.100000,195.100000,72.950000,72.950000,147.200000,147.200000,0.340000,0.340000
Mo-S-2,9.461000,9.461000,15.562000,1.000000,138.100000,32.890000,130.260000,130.260000,52.600000,52.600000,85.500000,85.500000,0.240000,0.240000
Mo-Se-2,9.856000,9.856000,14.339000,1.000000,116.080000,23.730000,111.230000,111.230000,46.170000,46.170000,69.900000,69.900000,0.200000,0.200000
Mo-Te-2,10.522000,10.522000,12.581000,1.000000,85.730000,18.180000,81.880000,81.880000,33.780000,33.780000,51.950000,51.950000,0.210000,0.210000
Re-O-2,8.527000,8.527000,19.157000,1.000000,143.060000,49.770000,125.740000,125.740000,46.650000,46.650000,96.410000,96.410000,0.350000,0.350000
Re-S-2,9.869000,9.869000,14.301000,1.000000,53.990000,49.690000,8.260000,8.260000,2.150000,2.150000,51.840000,51.840000,0.920000,0.920000
Re-Se-2,9.415000,9.415000,15.713000,1.000000,87.390000,33.830000,74.300000,74.300000,26.780000,26.780000,60.610000,60.610000,0.390000,0.390000
Re-Te-2,11.017000,11.017000,11.475000,1.000000,17.650000,35.700000,-54.530000,-54.530000,-9.020000,-9.020000,26.680000,26.680000,2.020000,2.020000
Ti-O-2,8.663000,8.663000,18.561000,1.000000,37.090000,36.190000,1.780000,1.780000,0.450000,0.450000,36.640000,36.640000,0.980000,0.980000
Ti-S-2,9.917000,9.917000,14.164000,1.000000,82.600000,30.010000,71.690000,71.690000,26.290000,26.290000,56.300000,56.300000,0.360000,0.360000
Ti-Se-2,10.344000,10.344000,13.017000,1.000000,62.000000,31.170000,46.330000,46.330000,15.420000,15.420000,46.580000,46.580000,0.500000,0.500000
Ti-Te-2,11.027000,11.027000,11.456000,1.000000,30.020000,23.290000,11.940000,11.940000,3.360000,3.360000,26.650000,26.650000,0.780000,0.780000
W-O-2,8.552000,8.552000,19.044000,1.000000,246.750000,74.230000,224.420000,224.420000,86.260000,86.260000,160.490000,160.490000,0.300000,0.300000
W-S-2,9.479000,9.479000,15.503000,1.000000,151.760000,30.480000,145.640000,145.640000,60.640000,60.640000,91.120000,91.120000,0.200000,0.200000
W-Se-2,9.866000,9.866000,14.309000,1.000000,127.380000,20.630000,124.040000,124.040000,53.380000,53.380000,74.010000,74.010000,0.160000,0.160000
W-Te-2,10.536000,10.536000,12.548000,1.000000,96.830000,15.930000,94.210000,94.210000,40.450000,40.450000,56.380000,56.380000,0.160000,0.160000
Zr-O-2,9.411000,9.411000,15.728000,1.000000,-93.980000,-117.030000,51.740000,51.740000,11.520000,11.520000,-105.510000,-105.510000,1.250000,1.250000
Zr-S-2,10.624000,10.624000,12.340000,1.000000,74.480000,36.330000,56.760000,56.760000,19.080000,19.080000,55.410000,55.410000,0.490000,0.490000
Zr-Se-2,10.998000,10.998000,11.517000,1.000000,62.200000,30.640000,47.100000,47.100000,15.780000,15.780000,46.420000,46.420000,0.490000,0.490000
Zr-Te-2,11.584000,11.584000,10.380000,1.000000,36.720000,22.390000,23.070000,23.070000,7.170000,7.170000,29.550000,29.550000,0.610000,0.610000
