Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Cr-Ge-O-S,6.592000,6.592000,19.417000,1.000000,-26.450000,102.920000,373.960000,373.960000,-64.690000,-64.690000,38.230000,38.230000,-3.890000,-3.890000
Cr-Ge-O-Se,6.616000,6.616000,19.274000,1.000000,-19.560000,127.590000,812.960000,812.960000,-73.570000,-73.570000,54.020000,54.020000,-6.520000,-6.520000
Cr-Ge-O-Te,6.084000,6.084000,22.791000,1.000000,55.820000,-6.150000,55.140000,55.140000,30.980000,30.980000,24.840000,24.840000,-0.110000,-0.110000
Cr-Ge-Se-O,6.049000,6.049000,23.054000,1.000000,207.050000,91.970000,166.200000,166.200000,57.540000,57.540000,149.510000,149.510000,0.440000,0.440000
Cr-Ge-Se-S,6.660000,6.660000,19.018000,1.000000,104.790000,24.950000,98.850000,98.850000,39.920000,39.920000,64.870000,64.870000,0.240000,0.240000
Cr-Ge-Se-Te,6.958000,6.958000,17.424000,1.000000,1.320000,-30.460000,-699.300000,-699.300000,15.890000,15.890000,-14.570000,-14.570000,-23.000000,-23.000000
Cr-Ge-S-O,5.922000,5.922000,24.056000,1.000000,245.650000,78.050000,220.850000,220.850000,83.800000,83.800000,161.850000,161.850000,0.320000,0.320000
Cr-Ge-S-Se,6.740000,6.740000,18.573000,1.000000,-82.750000,-138.230000,148.150000,148.150000,27.740000,27.740000,-110.490000,-110.490000,1.670000,1.670000
Cr-Ge-S-Te,6.760000,6.760000,18.460000,1.000000,-15.580000,-31.880000,49.650000,49.650000,8.150000,8.150000,-23.730000,-23.730000,2.050000,2.050000
Cr-Ge-Te-O,6.268000,6.268000,21.474000,1.000000,135.710000,103.000000,57.540000,57.540000,16.360000,16.360000,119.360000,119.360000,0.760000,0.760000
Cr-Ge-Te-S,6.951000,6.951000,17.461000,1.000000,59.350000,10.670000,57.440000,57.440000,24.340000,24.340000,35.010000,35.010000,0.180000,0.180000
Cr-Ge-Te-Se,7.101000,7.101000,16.732000,1.000000,75.380000,45.530000,47.890000,47.890000,14.930000,14.930000,60.450000,60.450000,0.600000,0.600000
