Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Cr-Ge-O-S,5.727000,5.727000,23.604000,1.000000,101.030000,-2.550000,100.970000,100.970000,51.790000,51.790000,49.240000,49.240000,-0.030000,-0.030000
Cr-Ge-O-Se,5.542000,5.542000,25.203000,1.000000,162.430000,34.450000,155.120000,155.120000,63.990000,63.990000,98.440000,98.440000,0.210000,0.210000
Cr-Ge-O-Te,5.920000,5.920000,22.093000,1.000000,-228.080000,-264.990000,79.800000,79.800000,18.460000,18.460000,-246.530000,-246.530000,1.160000,1.160000
Cr-Ge-Se-O,5.963000,5.963000,21.769000,1.000000,279.600000,109.050000,237.070000,237.070000,85.280000,85.280000,194.320000,194.320000,0.390000,0.390000
Cr-Ge-Se-S,6.537000,6.537000,18.118000,1.000000,21.170000,-74.730000,-242.620000,-242.620000,47.950000,47.950000,-26.780000,-26.780000,-3.530000,-3.530000
Cr-Ge-Se-Te,6.528000,6.528000,18.166000,1.000000,98.870000,37.230000,84.850000,84.850000,30.820000,30.820000,68.050000,68.050000,0.380000,0.380000
Cr-Ge-S-O,5.826000,5.826000,22.811000,1.000000,287.860000,70.500000,270.590000,270.590000,108.680000,108.680000,179.180000,179.180000,0.240000,0.240000
Cr-Ge-S-Se,6.301000,6.301000,19.499000,1.000000,80.360000,7.160000,79.720000,79.720000,36.600000,36.600000,43.760000,43.760000,0.090000,0.090000
Cr-Ge-S-Te,6.357000,6.357000,19.159000,1.000000,100.840000,29.290000,92.330000,92.330000,35.780000,35.780000,65.060000,65.060000,0.290000,0.290000
Cr-Ge-Te-O,6.223000,6.223000,19.992000,1.000000,119.330000,108.110000,21.390000,21.390000,5.610000,5.610000,113.720000,113.720000,0.910000,0.910000
Cr-Ge-Te-S,7.132000,7.132000,15.219000,1.000000,40.190000,27.890000,20.830000,20.830000,6.150000,6.150000,34.040000,34.040000,0.690000,0.690000
Cr-Ge-Te-Se,7.286000,7.286000,14.582000,1.000000,65.260000,38.440000,42.620000,42.620000,13.410000,13.410000,51.850000,51.850000,0.590000,0.590000
Cr-Hf-O-S,6.132000,6.132000,20.588000,1.000000,-180.780000,295.450000,302.070000,302.070000,-238.110000,-238.110000,57.330000,57.330000,-1.630000,-1.630000
Cr-Hf-O-Se,5.813000,5.813000,22.911000,1.000000,-59.760000,-126.120000,206.440000,206.440000,33.180000,33.180000,-92.940000,-92.940000,2.110000,2.110000
Cr-Hf-O-Te,6.033000,6.033000,21.270000,1.000000,-185.580000,-170.470000,-29.000000,-29.000000,-7.560000,-7.560000,-178.030000,-178.030000,0.920000,0.920000
Cr-Hf-Se-O,6.243000,6.243000,19.862000,1.000000,185.670000,58.750000,167.080000,167.080000,63.460000,63.460000,122.210000,122.210000,0.320000,0.320000
Cr-Hf-Se-S,6.878000,6.878000,16.362000,1.000000,199.890000,97.980000,151.860000,151.860000,50.950000,50.950000,148.930000,148.930000,0.490000,0.490000
Cr-Hf-Se-Te,6.634000,6.634000,17.591000,1.000000,116.050000,51.560000,93.140000,93.140000,32.250000,32.250000,83.800000,83.800000,0.440000,0.440000
Cr-Hf-S-O,6.133000,6.133000,20.585000,1.000000,59.920000,-102.650000,-115.940000,-115.940000,81.280000,81.280000,-21.370000,-21.370000,-1.710000,-1.710000
Cr-Hf-S-Se,6.690000,6.690000,17.297000,1.000000,1.960000,-10.030000,-49.230000,-49.230000,6.000000,6.000000,-4.030000,-4.030000,-5.110000,-5.110000
Cr-Hf-S-Te,6.504000,6.504000,18.299000,1.000000,141.640000,72.340000,104.690000,104.690000,34.650000,34.650000,106.990000,106.990000,0.510000,0.510000
Cr-Hf-Te-O,6.416000,6.416000,18.805000,1.000000,243.550000,83.980000,214.590000,214.590000,79.780000,79.780000,163.770000,163.770000,0.340000,0.340000
Cr-Hf-Te-S,6.984000,6.984000,15.873000,1.000000,220.690000,131.790000,141.980000,141.980000,44.450000,44.450000,176.240000,176.240000,0.600000,0.600000
Cr-Hf-Te-Se,7.121000,7.121000,15.267000,1.000000,145.690000,72.270000,109.840000,109.840000,36.710000,36.710000,108.980000,108.980000,0.500000,0.500000
