Material,aa,bb,cc,SG,C11,C12,Y_2D_a,Y_2D_b,G_a,G_b,B_a,B_b,V_a,V_b
Ba-O-Be-S,7.513000,7.513000,19.953000,1.000000,-80.690000,-71.530000,-17.280000,-17.280000,-4.580000,-4.580000,-76.110000,-76.110000,0.890000,0.890000
Ba-O-Be-Se,7.812000,7.812000,18.457000,1.000000,90.320000,52.710000,59.560000,59.560000,18.800000,18.800000,71.510000,71.510000,0.580000,0.580000
Ba-O-Be-Te,8.271000,8.271000,16.465000,1.000000,22.390000,13.460000,14.310000,14.310000,4.470000,4.470000,17.930000,17.930000,0.600000,0.600000
Ba-O-Cd-S,8.531000,8.531000,15.476000,1.000000,33.490000,13.520000,28.040000,28.040000,9.990000,9.990000,23.500000,23.500000,0.400000,0.400000
Ba-O-Cd-Se,8.668000,8.668000,14.990000,1.000000,-30.000000,-15.990000,-21.470000,-21.470000,-7.000000,-7.000000,-22.990000,-22.990000,0.530000,0.530000
Ba-O-Cd-Te,8.825000,8.825000,14.463000,1.000000,18.530000,-2.810000,18.100000,18.100000,10.670000,10.670000,7.860000,7.860000,-0.150000,-0.150000
Ba-O-Mg-S,8.373000,8.373000,16.067000,1.000000,14.790000,-1.510000,14.630000,14.630000,8.150000,8.150000,6.640000,6.640000,-0.100000,-0.100000
Ba-O-Mg-Se,8.572000,8.572000,15.327000,1.000000,29.170000,0.990000,29.130000,29.130000,14.090000,14.090000,15.080000,15.080000,0.030000,0.030000
Ba-O-Mg-Te,8.763000,8.763000,14.668000,1.000000,-22.490000,-28.400000,13.370000,13.370000,2.950000,2.950000,-25.440000,-25.440000,1.260000,1.260000
Ba-O-Sr-S,8.742000,8.742000,14.737000,1.000000,24.620000,-3.500000,24.120000,24.120000,14.060000,14.060000,10.560000,10.560000,-0.140000,-0.140000
Ba-O-Sr-Se,8.754000,8.754000,14.697000,1.000000,-1.560000,52.330000,1756.400000,1756.400000,-26.940000,-26.940000,25.380000,25.380000,-33.600000,-33.600000
Ba-O-Sr-Te,8.910000,8.910000,14.187000,1.000000,21.750000,-2.610000,21.440000,21.440000,12.180000,12.180000,9.570000,9.570000,-0.120000,-0.120000
Ba-O-Zn-S,8.144000,8.144000,16.981000,1.000000,-25.910000,5.090000,-24.910000,-24.910000,-15.500000,-15.500000,-10.410000,-10.410000,-0.200000,-0.200000
Ba-O-Zn-Se,8.383000,8.383000,16.029000,1.000000,25.440000,20.490000,8.930000,8.930000,2.470000,2.470000,22.970000,22.970000,0.810000,0.810000
Ba-O-Zn-Te,8.670000,8.670000,14.983000,1.000000,67.230000,54.890000,22.410000,22.410000,6.170000,6.170000,61.060000,61.060000,0.820000,0.820000
Ba-S-Be-O,7.019000,7.019000,22.864000,1.000000,-30.760000,68.630000,122.350000,122.350000,-49.700000,-49.700000,18.930000,18.930000,-2.230000,-2.230000
Ba-S-Be-Se,7.926000,7.926000,17.927000,1.000000,-68.140000,-54.100000,-25.190000,-25.190000,-7.020000,-7.020000,-61.120000,-61.120000,0.790000,0.790000
Ba-S-Be-Te,8.555000,8.555000,15.388000,1.000000,-27.890000,-15.490000,-19.280000,-19.280000,-6.200000,-6.200000,-21.690000,-21.690000,0.560000,0.560000
Ba-S-Cd-O,7.866000,7.866000,18.201000,1.000000,1.100000,-4.810000,-19.900000,-19.900000,2.950000,2.950000,-1.850000,-1.850000,-4.370000,-4.370000
Ba-S-Cd-Se,9.202000,9.202000,13.301000,1.000000,27.680000,-16.220000,18.170000,18.170000,21.950000,21.950000,5.730000,5.730000,-0.590000,-0.590000
Ba-S-Cd-Te,9.639000,9.639000,12.122000,1.000000,-14.720000,4.290000,-13.470000,-13.470000,-9.510000,-9.510000,-5.210000,-5.210000,-0.290000,-0.290000
Ba-Se-Be-O,6.728000,6.728000,24.880000,1.000000,-6.490000,43.000000,278.570000,278.570000,-24.740000,-24.740000,18.260000,18.260000,-6.630000,-6.630000
Ba-Se-Be-S,7.574000,7.574000,19.633000,1.000000,1.330000,-54.500000,-2234.420000,-2234.420000,27.920000,27.920000,-26.590000,-26.590000,-41.020000,-41.020000
Ba-Se-Be-Te,8.543000,8.543000,15.431000,1.000000,4.810000,-72.290000,-1081.360000,-1081.360000,38.550000,38.550000,-33.740000,-33.740000,-15.020000,-15.020000
Ba-Se-Cd-O,7.891000,7.891000,18.088000,1.000000,19.600000,6.580000,17.390000,17.390000,6.510000,6.510000,13.090000,13.090000,0.340000,0.340000
Ba-Se-Cd-S,8.891000,8.891000,14.248000,1.000000,2.280000,29.130000,-369.170000,-369.170000,-13.420000,-13.420000,15.710000,15.710000,12.750000,12.750000
Ba-Se-Cd-Te,9.702000,9.702000,11.965000,1.000000,4.210000,-15.320000,-51.560000,-51.560000,9.770000,9.770000,-5.560000,-5.560000,-3.640000,-3.640000
Ba-Se-Mg-O,7.445000,7.445000,20.321000,1.000000,-72.800000,-102.210000,70.720000,70.720000,14.710000,14.710000,-87.510000,-87.510000,1.400000,1.400000
Ba-Se-Mg-S,8.586000,8.586000,15.279000,1.000000,-36.380000,-22.530000,-22.430000,-22.430000,-6.930000,-6.930000,-29.460000,-29.460000,0.620000,0.620000
Ba-Se-Mg-Te,9.612000,9.612000,12.191000,1.000000,20.830000,2.840000,20.440000,20.440000,8.990000,8.990000,11.840000,11.840000,0.140000,0.140000
Ba-Se-Sr-O,8.438000,8.438000,15.819000,1.000000,-16.400000,-2.190000,-16.110000,-16.110000,-7.110000,-7.110000,-9.290000,-9.290000,0.130000,0.130000
Ba-Se-Sr-S,9.850000,9.850000,11.610000,1.000000,-22.680000,20.730000,-3.740000,-3.740000,-21.700000,-21.700000,-0.980000,-0.980000,-0.910000,-0.910000
Ba-Se-Sr-Te,10.240000,10.240000,10.740000,1.000000,1.590000,-13.410000,-111.190000,-111.190000,7.500000,7.500000,-5.910000,-5.910000,-8.410000,-8.410000
Ba-Se-Zn-O,9.170000,9.170000,13.396000,1.000000,24.560000,16.720000,13.180000,13.180000,3.920000,3.920000,20.640000,20.640000,0.680000,0.680000
Ba-Se-Zn-S,8.319000,8.319000,16.275000,1.000000,-22.980000,-26.110000,6.680000,6.680000,1.560000,1.560000,-24.550000,-24.550000,1.140000,1.140000
Ba-Se-Zn-Te,9.276000,9.276000,13.089000,1.000000,5.220000,-29.080000,-156.720000,-156.720000,17.150000,17.150000,-11.930000,-11.930000,-5.570000,-5.570000
Ba-S-Mg-O,7.427000,7.427000,20.419000,1.000000,-114.520000,-58.220000,-84.920000,-84.920000,-28.150000,-28.150000,-86.370000,-86.370000,0.510000,0.510000
Ba-S-Mg-Se,8.999000,8.999000,13.910000,1.000000,-16.990000,21.520000,10.270000,10.270000,-19.260000,-19.260000,2.270000,2.270000,-1.270000,-1.270000
Ba-S-Mg-Te,9.559000,9.559000,12.327000,1.000000,13.390000,-5.050000,11.490000,11.490000,9.220000,9.220000,4.170000,4.170000,-0.380000,-0.380000
Ba-S-Sr-O,8.364000,8.364000,16.102000,1.000000,22.270000,53.040000,-104.010000,-104.010000,-15.380000,-15.380000,37.660000,37.660000,2.380000,2.380000
Ba-S-Sr-Se,9.935000,9.935000,11.410000,1.000000,-34.880000,14.130000,-29.150000,-29.150000,-24.510000,-24.510000,-10.370000,-10.370000,-0.410000,-0.410000
Ba-S-Sr-Te,10.106000,10.106000,11.027000,1.000000,-21.640000,-4.140000,-20.850000,-20.850000,-8.750000,-8.750000,-12.890000,-12.890000,0.190000,0.190000
Ba-S-Zn-O,7.430000,7.430000,20.402000,1.000000,-16.560000,47.330000,118.730000,118.730000,-31.950000,-31.950000,15.390000,15.390000,-2.860000,-2.860000
Ba-S-Zn-Se,8.724000,8.724000,14.800000,1.000000,-29.580000,-45.210000,39.490000,39.490000,7.810000,7.810000,-37.390000,-37.390000,1.530000,1.530000
Ba-S-Zn-Te,9.230000,9.230000,13.220000,1.000000,4.510000,52.080000,-597.010000,-597.010000,-23.790000,-23.790000,28.290000,28.290000,11.550000,11.550000
Ba-Te-Be-O,8.754000,8.754000,14.699000,1.000000,27.950000,11.470000,23.250000,23.250000,8.240000,8.240000,19.710000,19.710000,0.410000,0.410000
Ba-Te-Be-S,8.711000,8.711000,14.843000,1.000000,-43.250000,-21.450000,-32.620000,-32.620000,-10.900000,-10.900000,-32.350000,-32.350000,0.500000,0.500000
Ba-Te-Be-Se,7.777000,7.777000,18.623000,1.000000,-33.580000,-37.580000,8.490000,8.490000,2.000000,2.000000,-35.580000,-35.580000,1.120000,1.120000
Ba-Te-Cd-O,7.982000,7.982000,17.678000,1.000000,-12.400000,-41.420000,125.980000,125.980000,14.510000,14.510000,-26.910000,-26.910000,3.340000,3.340000
Ba-Te-Cd-S,10.411000,10.411000,10.392000,1.000000,13.150000,10.190000,5.260000,5.260000,1.480000,1.480000,11.670000,11.670000,0.770000,0.770000
Ba-Te-Cd-Se,9.190000,9.190000,13.337000,1.000000,-24.640000,-35.460000,26.390000,26.390000,5.410000,5.410000,-30.050000,-30.050000,1.440000,1.440000
Ba-Te-Mg-O,7.121000,7.121000,22.212000,1.000000,59.210000,56.680000,4.950000,4.950000,1.270000,1.270000,57.940000,57.940000,0.960000,0.960000
Ba-Te-Mg-S,8.614000,8.614000,15.181000,1.000000,-3.080000,-13.470000,55.780000,55.780000,5.190000,5.190000,-8.270000,-8.270000,4.370000,4.370000
Ba-Te-Mg-Se,8.993000,8.993000,13.926000,1.000000,15.040000,4.520000,13.680000,13.680000,5.260000,5.260000,9.780000,9.780000,0.300000,0.300000
Ba-Te-Sr-O,8.592000,8.592000,15.258000,1.000000,-29.950000,-31.800000,3.810000,3.810000,0.920000,0.920000,-30.880000,-30.880000,1.060000,1.060000
Ba-Te-Sr-S,9.955000,9.955000,11.364000,1.000000,3.920000,0.960000,3.680000,3.680000,1.480000,1.480000,2.440000,2.440000,0.250000,0.250000
Ba-Te-Sr-Se,10.165000,10.165000,10.901000,1.000000,5.020000,-11.840000,-22.870000,-22.870000,8.430000,8.430000,-3.410000,-3.410000,-2.360000,-2.360000
Ba-Te-Zn-O,7.815000,7.815000,18.444000,1.000000,38.500000,31.540000,12.660000,12.660000,3.480000,3.480000,35.020000,35.020000,0.820000,0.820000
Ba-Te-Zn-S,10.483000,10.483000,10.249000,1.000000,10.280000,6.940000,5.600000,5.600000,1.670000,1.670000,8.610000,8.610000,0.670000,0.670000
Ba-Te-Zn-Se,10.766000,10.766000,9.717000,1.000000,10.980000,6.580000,7.040000,7.040000,2.200000,2.200000,8.780000,8.780000,0.600000,0.600000
Be-O-Ba-S,7.021000,7.021000,22.846000,1.000000,13.810000,-28.880000,-46.580000,-46.580000,21.350000,21.350000,-7.530000,-7.530000,-2.090000,-2.090000
Be-O-Ba-Se,6.730000,6.730000,24.871000,1.000000,-82.970000,147.630000,179.680000,179.680000,-115.300000,-115.300000,32.330000,32.330000,-1.780000,-1.780000
Be-O-Ba-Te,6.735000,6.735000,24.828000,1.000000,-6.880000,-94.490000,1289.900000,1289.900000,43.800000,43.800000,-50.690000,-50.690000,13.720000,13.720000
Be-O-Cd-S,6.693000,6.693000,25.144000,1.000000,26.290000,0.700000,26.270000,26.270000,12.800000,12.800000,13.490000,13.490000,0.030000,0.030000
Be-O-Cd-Se,6.524000,6.524000,26.460000,1.000000,-20.450000,41.920000,65.470000,65.470000,-31.180000,-31.180000,10.730000,10.730000,-2.050000,-2.050000
Be-O-Cd-Te,6.549000,6.549000,26.260000,1.000000,-43.610000,-26.140000,-27.940000,-27.940000,-8.740000,-8.740000,-34.870000,-34.870000,0.600000,0.600000
Be-O-Mg-S,7.393000,7.393000,20.606000,1.000000,-12.880000,67.750000,343.520000,343.520000,-40.310000,-40.310000,27.430000,27.430000,-5.260000,-5.260000
Be-O-Mg-Se,6.556000,6.556000,26.207000,1.000000,-104.870000,-7.370000,-104.350000,-104.350000,-48.750000,-48.750000,-56.120000,-56.120000,0.070000,0.070000
Be-O-Mg-Te,6.518000,6.518000,26.507000,1.000000,-128.380000,13.980000,-126.860000,-126.860000,-71.180000,-71.180000,-57.200000,-57.200000,-0.110000,-0.110000
Be-O-Sr-S,6.968000,6.968000,23.197000,1.000000,-136.640000,17.800000,-134.320000,-134.320000,-77.220000,-77.220000,-59.420000,-59.420000,-0.130000,-0.130000
Be-O-Sr-Se,6.680000,6.680000,25.241000,1.000000,93.150000,8.090000,92.450000,92.450000,42.530000,42.530000,50.620000,50.620000,0.090000,0.090000
Be-O-Sr-Te,6.715000,6.715000,24.975000,1.000000,-47.120000,62.290000,35.230000,35.230000,-54.700000,-54.700000,7.590000,7.590000,-1.320000,-1.320000
Be-O-Zn-S,7.150000,7.150000,22.034000,1.000000,58.200000,46.120000,21.670000,21.670000,6.040000,6.040000,52.160000,52.160000,0.790000,0.790000
Be-O-Zn-Se,7.446000,7.446000,20.312000,1.000000,-115.080000,-29.370000,-107.580000,-107.580000,-42.850000,-42.850000,-72.220000,-72.220000,0.260000,0.260000
Be-O-Zn-Te,7.968000,7.968000,17.740000,1.000000,-5.340000,5.950000,1.300000,1.300000,-5.640000,-5.640000,0.310000,0.310000,-1.120000,-1.120000
Be-S-Ba-O,7.513000,7.513000,19.953000,1.000000,-24.320000,-39.220000,38.950000,38.950000,7.450000,7.450000,-31.770000,-31.770000,1.610000,1.610000
